,V,n
0,0.0007476509612655639,512
1,0.0003719350585556029,1024
2,0.00018864817035436638,2048
3,9.32157081216574e-05,4096
4,4.602564634323124e-05,8192
5,2.3403330460190783e-05,16384
6,1.1686902623390781e-05,32768
7,5.828784431142271e-06,65536
8,2.844131545111886e-06,131072
9,1.4537172645702966e-06,262144
10,7.305828946491246e-07,524288
11,3.5949260339431027e-07,1048576
