,V,n
0,0.0005726735961532596,512
1,0.0002882502648830415,1024
2,0.00014534155805349345,2048
3,7.234025001525878e-05,4096
4,3.6640495696067806e-05,8192
5,1.841392020568253e-05,16384
6,9.203454507878048e-06,32768
7,4.658663030480967e-06,65536
8,2.2506785226141837e-06,131072
9,1.1168082958260485e-06,262144
10,5.700646956270786e-07,524288
11,2.84782943353057e-07,1048576
