,E,V,k
0,0.3063371566772461,2.0393636027327705e-06,4
1,0.24399352874755859,2.8756685489765368e-06,8
2,0.1871191421508789,3.7994834342948175e-06,16
3,0.13971678161621093,4.658663030480967e-06,32
4,0.10245217590332031,5.076030382504685e-06,64
5,0.07420414886474609,5.63638704884564e-06,128
6,0.053324647521972655,5.828784431142271e-06,256
7,0.03817080841064453,6.071492923328185e-06,512
8,0.027184542846679687,6.201424640035257e-06,1024
