MinC,case,fgc,med,rat,rec,rem,work
1,1,1055,6,0.3248126037116863,2,1055,610445
1,1,1039,6,0.3321100917431193,2,1039,615051
1,1,1048,6,0.3424478818974232,2,1048,615012
1,1,1033,6,0.3157527322664937,2,1033,598224
1,1,1074,6,0.32190581548379715,2,1074,609919
1,1,1030,6,0.3298899464037079,2,1030,605441
1,1,1046,6,0.3239962616109405,2,1046,605661
1,1,1038,6,0.31847641572412216,2,1038,600281
1,1,1026,4,0.3299013904518492,2,1026,611113
1,1,1048,6,0.3305918480230407,2,1048,630424
1,1,1047,4,0.3207156344771024,2,1047,600814
1,1,1033,6,0.3322397909553873,2,1033,606545
1,1,1051,6,0.3466249594689962,2,1051,617630
1,1,1038,4,0.3291460832745237,2,1038,609070
1,1,1046,6,0.3398691563829179,2,1046,614266
1,1,1041,6,0.3253886208014649,2,1041,606081
1,1,1027,6,0.32733410898548515,2,1027,602803
1,1,1036,6,0.3365274943256595,2,1036,619505
1,1,1048,6,0.3192317229014477,2,1048,608592
1,1,1058,6,0.32067748764996473,2,1058,606519
1,1,1037,6,0.3366228613935036,2,1037,640737
1,1,1055,4,0.3348681073451716,2,1055,612068
1,1,1049,4,0.3406702397528086,2,1049,612362
1,1,1036,6,0.3305269984169067,2,1036,611807
1,1,1055,6,0.34067405443552234,2,1055,612609
1,1,1067,6,0.3275019550248908,2,1067,604459
1,1,1041,6,0.3328348814587347,2,1041,606940
1,1,1052,6,0.3353640160979611,2,1052,608534
1,1,1028,6,0.3340899120715635,2,1028,611295
1,1,1019,6,0.33298365408457153,2,1019,620106
1,1,1021,6,0.3280474546529593,2,1021,605225
1,1,1045,6,0.33758797612008623,2,1045,619907
1,1,1048,6,0.3292300062942265,2,1048,616064
1,1,1035,6,0.32922619161151273,2,1035,610927
1,1,1034,6,0.3317019206927464,2,1034,614181
1,1,1037,6,0.3275057697076046,2,1037,609986
1,1,1035,6,0.3220660321577753,2,1035,605327
1,1,1038,6,0.3225962730549887,2,1038,604321
1,1,1023,6,0.33233515802323144,2,1023,619877
1,1,1035,4,0.3382517309122814,2,1035,615664
1,1,1020,6,0.33178584371244924,2,1020,613925
1,1,1042,6,0.3291880447843751,2,1042,614448
1,1,1036,6,0.3291842301016613,2,1036,603655
1,1,1040,6,0.3409143794464896,2,1040,621940
1,1,1042,6,0.3417307215472353,2,1042,613792
1,1,1039,6,0.3249346735585268,2,1039,603215
1,1,1040,6,0.32518262793492153,2,1040,603900
1,1,1051,6,0.3405290964923993,2,1051,630257
1,1,1031,6,0.3358866276297469,2,1031,611700
1,1,1042,6,0.3395449083522478,2,1042,615986
