med,MinC
0.4780047911866579,True
0.505241314066863,True
0.4981308268611624,True
0.49837496376092894,True
0.4894487083632147,True
0.48584768909165815,True
0.48902146878862324,True
0.49518592550772844,True
0.4837725254436425,True
0.4930649861910066,True
0.4922867998230007,True
0.48806017974579247,True
0.49106611532416805,True
0.4803546088469109,True
0.46904801867647283,True
0.4875871645024948,True
0.4888231075575629,True
0.4913407693364054,True
0.51389291545234,True
0.4930497276347712,True
0.49538428673878876,True
0.48819750675191115,True
0.504234249355326,True
0.479164441460549,True
0.4982834124235165,True
0.4996261653722325,True
0.4822466698201016,True
0.4875871645024948,True
0.5055159680791004,True
0.48868578055144424,True
0.4971390207058608,True
0.506996048033935,True
0.4926072295039443,True
0.4907762027556953,True
0.4964676442315028,True
0.48682423669072433,True
0.4666524253475136,True
0.4906388757495766,True
0.5060500175473397,True
0.5182568625356668,True
0.48296382196316584,True
0.506919755252758,True
0.5035018386560264,True
0.5068587210278164,True
0.5184094480980209,True
0.49234783404794236,True
0.4891282786822711,True
0.4968338495811526,True
0.5029067549628454,True
0.48397088667470284,True
0.4922257655980591,True
0.48940293269450846,True
0.4971695378183316,True
0.49436196347101635,True
0.4879533698521446,True
0.49422463646489767,True
0.4844133848055297,True
0.4855882936356562,True
0.5170056609243633,True
0.4896165524818042,True
0.49355325999053967,True
0.5265270000152585,True
0.4811938294398584,True
0.4918443016921739,True
0.4845659703678838,True
0.4871446663716679,True
0.5155560980819995,True
0.5003433175152967,True
0.48749561316508233,True
0.49571997497596776,True
0.506507774234402,True
0.4866106169034286,True
0.5066756183529915,True
0.5038680440056762,True
0.48816698963944033,True
0.49892427178540366,True
0.5163342844500053,True
0.4799884034972611,True
0.5056380365289836,True
0.5171582464867174,True
0.49684910813738803,True
0.48685475380319515,True
0.4952774768451409,True
0.49039473884981005,True
0.494758685933137,True
0.48395562811846743,True
0.5189434975662602,True
0.47600592031981936,True
0.4934006744281856,True
0.5059737247661626,True
0.4771808291499458,True
0.48867052199520883,True
0.482857012069518,True
0.5065993255718144,True
0.5008926255397714,True
0.47945435402902176,True
0.5004806445214154,True
0.47875246044219294,True
0.5069655309214642,True
0.5108412042052581,True
