,V,n
0,0.0002657875108337401,512
1,0.00013455975317955008,1024
2,6.500491866111752e-05,2048
3,3.357600268781188e-05,4096
4,1.6344617285728458e-05,8192
5,8.20631602670997e-06,16384
6,4.147077351659538e-06,32768
7,2.0393636027327705e-06,65536
8,1.0369283347367309e-06,131072
9,5.103009050007672e-07,262144
10,2.6226133015410613e-07,524288
11,1.2617842860191514e-07,1048576
