fgc,min,rec,rem,work
25,25,1,25,8311451
25,25,1,25,8310687
25,25,1,25,8313701
25,25,1,25,8317524
26,26,1,25,8314177
25,25,1,25,8314884
25,25,1,25,8316721
25,24,1,25,8314171
25,25,1,25,8313583
25,24,1,25,8316194
25,25,1,25,8311374
25,25,1,25,8315959
25,24,1,25,8314368
25,25,1,25,8313240
25,25,1,25,8311883
26,26,1,25,8315401
26,25,1,26,8311335
25,25,1,25,8313715
25,25,1,25,8315956
25,25,1,25,8315527
26,25,1,26,8315376
25,25,1,25,8311360
26,26,1,25,8314302
26,26,1,25,8315842
25,25,1,25,8314114
25,25,1,25,8313752
25,25,1,25,8314391
25,24,1,25,8316075
25,25,1,25,8313072
25,25,1,25,8314136
25,25,1,25,8316891
26,26,1,25,8313918
25,25,1,25,8315141
25,25,1,25,8313782
26,25,1,26,8317286
25,25,1,25,8312597
25,25,1,25,8315530
25,25,1,25,8314768
25,25,1,25,8311262
25,25,1,25,8313725
25,25,1,25,8314793
25,24,1,25,8312706
26,26,1,25,8313253
25,25,1,25,8313940
25,25,1,25,8315921
25,25,1,25,8314766
25,25,1,25,8314910
25,25,1,25,8315317
25,25,1,25,8317886
25,25,1,25,8316844
