fgc,min,rec,rem,work
25,25,1,25,8309629
25,25,1,25,8315190
25,25,1,25,8313437
25,25,1,25,8315007
25,25,1,25,8315111
26,25,1,26,8312640
26,26,1,25,8316928
25,25,1,25,8312931
26,26,1,25,8316255
25,25,1,25,8315351
25,25,1,25,8312890
25,24,1,25,8313106
25,25,1,25,8314091
25,25,1,25,8314748
25,25,1,25,8310355
25,24,1,25,8314246
25,25,1,25,8314238
25,25,1,25,8313408
25,25,1,25,8317906
26,26,1,25,8316187
25,24,1,25,8311838
26,25,1,26,8313792
25,25,1,25,8317221
25,25,1,25,8317395
25,25,1,25,8312272
25,25,1,25,8314210
25,25,1,25,8314536
25,25,1,25,8315888
25,25,1,25,8314089
25,25,1,25,8312378
25,25,1,25,8312641
25,25,1,25,8313417
26,25,1,26,8314590
25,25,1,25,8316410
25,25,1,25,8316005
25,25,1,25,8313611
25,25,1,25,8315838
25,25,1,25,8314207
25,25,1,25,8315163
25,25,1,25,8311958
25,25,1,25,8308830
25,25,1,25,8315728
25,25,1,25,8316864
25,25,1,25,8312241
25,25,1,25,8317978
25,25,1,25,8314181
25,25,1,25,8315413
25,25,1,25,8315165
25,25,1,25,8313438
25,25,1,25,8314861
