fgc,min,rec,rem,work
25,25,1,25,8312459
25,25,1,25,8315646
25,25,1,25,8313380
26,26,1,25,8314793
25,25,1,25,8317105
25,25,1,25,8312045
26,25,1,26,8314665
25,24,1,25,8310699
25,24,1,25,8312994
25,25,1,25,8313200
25,25,1,25,8314439
25,25,1,25,8314768
25,25,1,25,8314837
25,25,1,25,8320588
25,25,1,25,8313873
25,24,1,25,8314925
25,25,1,25,8312791
25,25,1,25,8313928
25,25,1,25,8314796
25,25,1,25,8313616
25,25,1,25,8314358
25,25,1,25,8315669
25,25,1,25,8311880
25,25,1,25,8312789
25,25,1,25,8314071
25,25,1,25,8317673
25,25,1,25,8313083
25,25,1,25,8314427
25,25,1,25,8312626
25,25,1,25,8315156
25,25,1,25,8315520
25,24,1,25,8312696
25,25,1,25,8315926
25,25,1,25,8314937
25,25,1,25,8314659
26,26,1,25,8313534
25,25,1,25,8314500
25,25,1,25,8311296
25,25,1,25,8313927
25,24,1,25,8313882
25,25,1,25,8313934
25,25,1,25,8315776
25,25,1,25,8312996
25,25,1,25,8313600
25,25,1,25,8314755
26,25,1,26,8310469
25,25,1,25,8316454
25,25,1,25,8311941
25,25,1,25,8315083
25,25,1,25,8313814
